timestamp,aavegotchi,audius,decentraland,dodo,enjincoin,nftx,rarible,superfarm,superrare,the-sandbox,ethereum,axie-infinity,maker,1inch,sushi,aave,solana,matic-network,yield-guild-games
2021-11-26,229696251.2999049,1234313995.8379858,6905478768.877867,356240684.7096854,3967704545.559352,50001971.01826483,110796175.52600645,524022841.65290064,266331855.0239708,6481649206.234053,535082405000.054,9137009896.9863,2997908387.985412,763238747.1789956,1573417125.9773448,3516476145.207493,63900196618.38859,13134037214.926643,737128215.2290024
2021-11-27,218081877.3882783,1106718859.4099183,6176738565.093196,322519213.2074943,3592757392.989065,43243934.72305116,95832890.5391656,451531898.9476667,235137509.1208472,6292245119.020314,479414339295.46326,8254282383.312425,2798523723.9311543,663509135.9256344,1347590214.3348374,3105373237.653833,58390912497.66776,11242120224.384604,634358464.21039
2021-11-28,216629224.13232747,1208618339.733033,6171658973.709241,338490838.6688694,3407003091.187556,43792992.46461435,97279291.53993943,469738747.8598434,234600742.8853432,5884963465.002154,483997326749.3893,8348277060.84726,2766460021.4711533,665407162.9710059,1349153090.253445,3096255398.577014,58410646819.21711,11008236155.197723,623205716.5026822
2021-11-29,217168274.7737344,1223303242.8165555,6779149407.223709,357752373.2670968,3549516268.562943,43671173.72364734,118715811.8744148,502350418.63661367,253934679.8759981,6803491733.878922,508385171334.4435,8758683433.054375,2772182767.8156457,658968597.3404112,1522618275.6827793,3189266598.81928,61094490229.682304,11342978090.363644,684154449.2710861
2021-11-30,221100731.06055495,1220106593.0779514,6554244775.373421,375100157.3260714,3442672299.053633,46338408.13785292,124988586.00128023,513994905.0175445,241657999.3693424,6371839127.549187,527331112023.3339,8877482746.31193,2785735883.145558,679439297.7460653,1446952606.6205428,3343248708.0951266,62325150548.69784,12513292821.703903,661547670.254404
2021-12-01,220295563.24531075,1181082728.981202,6123814460.0553255,368418673.3393244,3265296251.780946,49276984.61930799,112781366.36778364,530966651.9282047,275669859.9065294,6153434968.167861,549758919636.0618,9012900654.892838,2754302131.647383,643168255.4580618,1510769404.7235503,3434100802.6639333,63510180677.8961,12347540711.671171,647964311.1299677
2021-12-02,222233107.5301149,1204041246.6514258,5996029962.581709,361573903.69699246,3299265570.5422964,49276107.205905005,106033131.27135012,539731274.3015285,264354144.9794735,5968960271.956346,544051345075.8544,8886065849.178226,2678948171.7588487,667555663.2543817,1456687071.212994,3365690592.1832724,70172175382.70602,13854636684.673172,763009702.0476792
2021-12-03,219134128.2141559,1145524685.5569189,5829655356.356736,368558947.4026853,3174610718.18401,46964388.660631806,121923601.40881366,497279648.642435,242315936.3051909,6051426622.793517,537814995667.8384,8886655553.738308,2671467561.565658,628926728.7024477,1425304147.7600317,3277493051.341643,71252377813.81462,14627840222.532726,712446692.885864
2021-12-04,206230196.34097895,1117284709.0275493,5218429894.41839,339275990.1799909,2912075719.028203,45301795.93866272,105825940.84146889,467612094.2423534,224577472.721141,5524914706.182187,502863051143.0169,8462680757.409149,2501690981.667989,1248324873.0361586,1330601649.344263,3039015831.7906,65135413411.05541,15756624950.0671,656997338.1520963
2021-12-05,188369425.15794903,962747687.4250528,5421104211.183102,265847166.33938637,2825843690.400527,44203397.50260025,98079243.51398677,406291080.8207944,191673040.74070057,5518305789.306544,485429065737.4593,7703979274.541894,2332424629.820747,1062133155.9146892,1114770830.179135,2693778007.900724,61293686195.46672,13462273253.107182,570200046.4782645
